customer_id,first_name,last_name,email,signup_date
77,Hannah,Castillo,ian98@daugherty.com,2023-04-15
78,Evelyn,Smith,thomasbird@stokes-porter.com,2023-06-17
79,Robert,Nicholson,ugibson@wilcox.net,2022-11-26
80,Isaac,Taylor,fenglish@hotmail.com,2022-07-22
81,Jonathan,Baldwin,michael66@gmail.com,2025-03-29
82,Joseph,Benjamin,kmiller@hotmail.com,2025-04-10
83,William,Obrien,goldenbrian@gmail.com,2025-06-24
84,Melissa,Alvarado,robert34@gmail.com,2023-07-25
85,Gxorge,Nichols,farmerbriana@hotmail.com,2024-06-03
86,Ronald,Johnson,lhooper@gmail.com,2025-06-30
87,Timothy,Vazquez,maryhill@hotmail.com,2023-08-23
88,Kathy,Long,kyle03@rodriguez.com,2024-04-29
89,Laura,Curry,sanchezlaura@yahoo.com,2024-11-06
90,Catherine,Taylor,crawfordrebecca@hickman.com,2025-06-16
91,Steven,Gilbert,rbanks@hotmail.com,2023-04-26
92,Connie,Oconnell,washingtoncarol@aguilar.com,2024-10-28
93,Stephanie,Mccarthy,susandyer@gomez-smith.com,2024-09-24
94,Denise,Lindsey,sandersmichelle@gmail.com,2023-11-27
95,Thomas,Wright,lawrencericky@nelson.com,2025-04-15
96,Kimberly,Brown,williamdavis@nichols.com,2024-06-14
97,Amy,Thomas,christopherjohnson@adams-brewer.com,2022-07-20
98,Frederick,Webb,owenevan@hotmail.com,2024-08-10
99,Anthony,Davis,elopez@johnson-johnson.com,2023-03-19
100,William,Garrett,gmartinez@hotmail.com,2022-11-27
81,Jonathan,Baldwin,michael66@gmail.com,2025-03-29
85,George,Nichols,farmerbriana@hotmail.com,2024-06-03
34,Eddie,Cooper,qchaney@huang.com,2024-12-25
82,Joseph,Benjamin,,2025-04-10
94,Denise,Lindsey,sandersmichelle@gmail.com,2023-11-27
